DATA.CLASIFICACION1,DATA.CLASIFICACION2,DATA.CLASIFICACION3,FECHAHORA,HEADWAY,INTENSIDAD,OCUPACION,REGISTROS,VELOCIDAD,INDRA.CONSECUTIVO,INDRA.MENSAJE,INDRA.TIMESTAMP,INDRA.TIPO,INDRA.VERSION,ANO,CORREDOR,DISPOSITIVO,LOCATION,MES,SENTIDO
10,0,1,2021-01-01 00:00:00+00:00,27272,11,13,4,0.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Carrera 70,CCTV,"{'lon': '-75.591957', 'lat': '6.222705'}",Enero,SN
38,7,1,2021-01-01 00:00:00+00:00,6521,46,34,5,24.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Carrera 70,CCTV,"{'lon': '-75.591957', 'lat': '6.222705'}",Enero,SN
14,0,0,2021-01-01 00:00:00+00:00,21428,14,14,4,7.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Carrera 70,CCTV,"{'lon': '-75.591957', 'lat': '6.222705'}",Enero,SN
42,1,0,2021-01-01 00:00:00+00:00,6976,43,12,5,82.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Regional,CCTV,"{'lon': '-75.580276', 'lat': '6.197217'}",Enero,SN
59,2,1,2021-01-01 00:00:00+00:00,4838,62,15,5,77.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Regional,CCTV,"{'lon': '-75.580276', 'lat': '6.197217'}",Enero,SN
41,3,6,2021-01-01 00:00:00+00:00,6000,50,8,5,33.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida 33,CCTV,"{'lon': '-75.572519', 'lat': '6.238057'}",Enero,WE
38,1,0,2021-01-01 00:00:00+00:00,7692,39,9,5,34.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Las Palmas,CCTV,"{'lon': '-75.566837', 'lat': '6.233042'}",Enero,SN
12,0,1,2021-01-01 00:00:00+00:00,23076,13,8,3,28.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,San Juan,CCTV,"{'lon': '-75.577656', 'lat': '6.247009'}",Enero,WE
98,1,0,2021-01-01 00:00:00+00:00,3030,99,35,5,37.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Regional,CCTV,"{'lon': '-75.577622', 'lat': '6.252683'}",Enero,SN
3,1,5,2021-01-01 00:00:00+00:00,33333,9,17,4,9.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Calle 80,CCTV,"{'lon': '-75.584149', 'lat': '6.284175'}",Enero,EW
27,0,2,2021-01-01 00:00:00+00:00,10344,29,22,5,16.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Calle 80,CCTV,"{'lon': '-75.584149', 'lat': '6.284175'}",Enero,EW
22,1,0,2021-01-01 00:00:00+00:00,13043,23,16,4,17.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Calle 30,CCTV,"{'lon': '-75.602086', 'lat': '6.230898'}",Enero,WE
104,5,0,2021-01-01 00:00:00+00:00,2752,109,43,5,32.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Autopista Sur,CCTV,"{'lon': '-75.575542', 'lat': '6.258728'}",Enero,NS
3,0,0,2021-01-01 00:00:00+00:00,100000,3,4,3,38.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Carrera 43C,CCTV,"{'lon': '-75.575235', 'lat': '6.20135'}",Enero,SN
21,5,11,2021-01-01 00:00:00+00:00,8108,37,14,5,35.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Transversal 78,CCTV,"{'lon': '-75.573623', 'lat': '6.27564'}",Enero,EW
31,0,0,2021-01-01 00:00:00+00:00,9677,31,11,5,32.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida El Poblado,CCTV,"{'lon': '-75.569949', 'lat': '6.214359'}",Enero,SN
17,0,0,2021-01-01 00:00:00+00:00,17647,17,6,4,28.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Calle 9 Sur - Los Balsos,CCTV,"{'lon': '-75.572641', 'lat': '6.194362'}",Enero,EW
17,0,0,2021-01-01 00:00:00+00:00,17647,17,10,3,34.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Calle 9 Sur - Los Balsos,CCTV,"{'lon': '-75.572641', 'lat': '6.194362'}",Enero,WE
27,2,1,2021-01-01 00:00:00+00:00,10000,30,9,4,40.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Guayabal,CCTV,"{'lon': '-75.580468', 'lat': '6.218988'}",Enero,SN
11,0,1,2021-01-01 00:00:00+00:00,25000,12,8,4,44.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Guayabal,CCTV,"{'lon': '-75.580468', 'lat': '6.218988'}",Enero,SN
4,1,0,2021-01-01 00:00:00+00:00,60000,5,2,4,92.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Ferrocarril,CCTV,"{'lon': '-75.574917', 'lat': '6.2498'}",Enero,SN
6,0,3,2021-01-01 00:00:00+00:00,33333,9,6,4,64.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Ferrocarril,CCTV,"{'lon': '-75.574917', 'lat': '6.2498'}",Enero,SN
21,5,2,2021-01-01 00:00:00+00:00,10714,28,12,5,53.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Ferrocarril,CCTV,"{'lon': '-75.574917', 'lat': '6.2498'}",Enero,SN
26,0,0,2021-01-01 00:00:00+00:00,11538,26,10,5,31.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Las Vegas,CCTV,"{'lon': '-75.575118', 'lat': '6.22545'}",Enero,SN
42,8,5,2021-01-01 00:00:00+00:00,5454,55,37,5,22.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Autopista Norte,CCTV,"{'lon': '-75.57454', 'lat': '6.268167'}",Enero,SN
23,21,35,2021-01-01 00:00:00+00:00,3797,79,34,5,31.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Autopista Norte,CCTV,"{'lon': '-75.57454', 'lat': '6.268167'}",Enero,NS
86,2,0,2021-01-01 00:00:00+00:00,3409,88,29,5,39.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Autopista Sur,CCTV,"{'lon': '-75.580116', 'lat': '6.200976'}",Enero,NS
41,13,6,2021-01-01 00:00:00+00:00,5000,60,24,3,33.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Autopista Sur,CCTV,"{'lon': '-75.578908', 'lat': '6.209941'}",Enero,NS
20,1,1,2021-01-01 00:00:00+00:00,13636,22,5,4,38.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Bolivariana,CCTV,"{'lon': '-75.582065', 'lat': '6.247116'}",Enero,SN
37,1,1,2021-01-01 00:00:00+00:00,7692,39,7,5,79.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Bolivariana,CCTV,"{'lon': '-75.582065', 'lat': '6.247116'}",Enero,SN
36,0,0,2021-01-01 00:00:00+00:00,8333,36,24,5,26.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida 33,CCTV,"{'lon': '-75.608036', 'lat': '6.23851'}",Enero,WE
33,0,0,2021-01-01 00:00:00+00:00,9090,33,14,5,27.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida 33,CCTV,"{'lon': '-75.608036', 'lat': '6.23851'}",Enero,WE
64,17,8,2021-01-01 00:00:00+00:00,3370,89,44,5,25.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Autopista Norte,CCTV,"{'lon': '-75.561869', 'lat': '6.303419'}",Enero,SN
14,0,0,2021-01-01 00:00:00+00:00,21428,14,12,4,15.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Las Vegas,CCTV,"{'lon': '-75.580215', 'lat': '6.190653'}",Enero,NS
21,0,0,2021-01-01 00:00:00+00:00,14285,21,8,5,31.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Calle 12 Sur,CCTV,"{'lon': '-75.580327', 'lat': '6.194929'}",Enero,EW
15,0,0,2021-01-01 00:00:00+00:00,20000,15,8,5,27.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Calle 12 Sur,CCTV,"{'lon': '-75.580327', 'lat': '6.194929'}",Enero,EW
9,1,1,2021-01-01 00:00:00+00:00,27272,11,14,5,7.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida 33,CCTV,"{'lon': '-75.590232', 'lat': '6.239332'}",Enero,NS
8,0,3,2021-01-01 00:00:00+00:00,27272,11,15,5,7.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida 33,CCTV,"{'lon': '-75.590232', 'lat': '6.239332'}",Enero,NS
26,1,1,2021-01-01 00:00:00+00:00,10714,28,16,5,24.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida 33,CCTV,"{'lon': '-75.57641972', 'lat': '6.2396675'}",Enero,WE
26,0,0,2021-01-01 00:00:00+00:00,11538,26,12,4,23.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida 33,CCTV,"{'lon': '-75.57641972', 'lat': '6.2396675'}",Enero,EW
55,15,35,2021-01-01 00:00:00+00:00,2857,105,38,5,41.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Regional,CCTV,"{'lon': '-75.57354', 'lat': '6.259874'}",Enero,SN
21,3,3,2021-01-01 00:00:00+00:00,11111,27,17,5,37.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Calle 10,CCTV,"{'lon': '-75.56503773', 'lat': '6.208415673'}",Enero,EW
8,3,6,2021-01-01 00:00:00+00:00,17647,17,15,5,18.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Calle 10,CCTV,"{'lon': '-75.56503773', 'lat': '6.208415673'}",Enero,EW
36,5,5,2021-01-01 00:00:00+00:00,6521,46,35,5,34.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Regional,CCTV,"{'lon': '-75.578257', 'lat': '6.208936'}",Enero,SN
6,3,1,2021-01-01 00:00:00+00:00,30000,10,9,4,32.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Loma El Tesoro,CCTV,"{'lon': '-75.560471', 'lat': '6.204551'}",Enero,EW
52,11,32,2021-01-01 00:00:00+00:00,3157,95,42,5,46.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Autopista Sur,CCTV,"{'lon': '-75.577999', 'lat': '6.216527'}",Enero,NS
47,12,17,2021-01-01 00:00:00+00:00,3947,76,42,5,23.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Autopista Norte,CCTV,"{'lon': '-75.568601', 'lat': '6.292054'}",Enero,SN
59,8,13,2021-01-01 00:00:00+00:00,3750,80,35,5,46.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Autopista Norte,CCTV,"{'lon': '-75.568601', 'lat': '6.292054'}",Enero,NS
116,1,0,2021-01-01 00:00:00+00:00,2564,117,40,5,27.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Autopista Sur,CCTV,"{'lon': '-75.576522', 'lat': '6.226758'}",Enero,NS
39,11,9,2021-01-01 00:00:00+00:00,5084,59,32,5,33.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Las Palmas,CCTV,"{'lon': '-75.566698', 'lat': '6.228087'}",Enero,NS
39,10,5,2021-01-01 00:00:00+00:00,5555,54,9,5,83.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Las Palmas,CCTV,"{'lon': '-75.566698', 'lat': '6.228087'}",Enero,SN
43,5,11,2021-01-01 00:00:00+00:00,5084,59,33,5,24.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Regional Paralela,CCTV,"{'lon': '-75.562456', 'lat': '6.295411'}",Enero,SN
84,1,0,2021-01-01 00:00:00+00:00,3529,85,26,5,37.0,359833,cantidad de registros 530,2020-12-31 23:59:58+00:00,TrafficData,1.2 (2020.10.13),2021,Avenida Regional,CCTV,"{'lon': '-75.574935', 'lat': '6.25754'}",Enero,SN
